net,length_um
_112_,226.47
_107_,225.74
_106_,221.12
net18,214.69
_119_,212.445
_104_,210.54
net5,208.19
_101_,207.92
_156_,203.1
net19,199.62
_023_,198.86
_103_,195.02
_151_,193.24
net6,192.31
_158_,183.65
_153_,183.44
net4,182.92
net14,177.34
net9,164.54
_134_,160.05
_002_,154.92
net11,152.93
net17,151.28
_033_,150.88
_100_,150.48
_117_,148.95
net7,145.51
_118_,144.94
_150_,144.72
_149_,141.36
net10,138.48
_099_,136.2
net12,134.42
_013_,132.24
_169_,130.8
net13,129.19
_163_,125.905
_140_,124.94
_029_,124.76
_050_,123.44
_008_,122.16
_027_,120.56
net1,119.23
_115_,118.13
_069_,117.96
_155_,117.8
_114_,116.86
net15,115.945
_090_,113.94
_078_,113.9
_035_,113.66
_005_,113.62
_039_,113.5
_137_,112.44
_011_,111.78
_108_,111.66
_015_,111.28
_007_,110.87
net8,109.34
_166_,108.29
_073_,107.94
_139_,107.34
_113_,107.19
_105_,107.12
net28,106.58
_111_,106.43
_162_,106.2
net3,104.575
_116_,103.62
_010_,103.26
_003_,102.92
_123_,102.03
_089_,101.86
_165_,101.37
_014_,99.5
_128_,99.12
_000_,98.26
_012_,96.3
net21,94.86
_102_,94.72
_160_,92.68
_167_,91.26
_154_,91.1
net16,89.44
_122_,86.525
_028_,86.22
_038_,86.14
_083_,86.12
_110_,85.84
_143_,85.66
_048_,85.27
_067_,83.76
_142_,83.28
_053_,83.26
net2,82.78
_129_,82.74
_009_,81.29
_084_,80.38
_152_,79.96
_065_,79.65
_001_,78.88
_097_,78.76
_042_,78.74
_062_,78.32
_126_,77.67
net23,77.2
_034_,76.61
_019_,76.48
_024_,76.2
_148_,75.02
_026_,74.72
_120_,72.42
_094_,70
_047_,69.42
_082_,69.3
_066_,67.78
_068_,67.04
_037_,66.72
_016_,66.5
_121_,66.38
_017_,66.28
_006_,64.97
_071_,64.5
net20,64.12
_136_,64.1
_159_,63.62
_109_,63.08
_147_,61.4
_052_,61.24
_127_,60.92
net25,60.8
_125_,60.22
_130_,60.22
_030_,60.14
_161_,59.28
_055_,59.18
_133_,58.32
_036_,57.94
_132_,57.86
_022_,56.98
_138_,56.83
_076_,56.38
_164_,55.8
_056_,55.72
_124_,55.54
_086_,54.24
_080_,54.04
_146_,53.7
_020_,53.5
_025_,52.31
net27,50.96
_077_,50.94
_057_,50.82
_018_,50.72
_021_,48.76
_095_,48.34
_145_,47.72
_049_,47.06
_070_,46.84
_074_,46.32
_168_,45.9
_096_,42.88
_081_,42.39
_135_,41.62
_004_,40.4
_031_,39.38
_144_,38.76
_061_,38.52
_044_,38.18
_059_,38.18
_058_,37.84
_098_,37.08
_088_,35.26
_093_,34.82
_054_,34.58
_064_,31.12
_072_,30.78
_043_,30.34
_063_,29.6
_131_,29.24
_051_,28.94
net22,27.64
_040_,20.48
_157_,20.16
_092_,20.08
_045_,19.2
_079_,18.94
_141_,18.38
_041_,18.1
dout[0],16.49
net26,15.76
_091_,12.98
din1[7],12.69
dout[1],12.19
_085_,11.82
_060_,11.74
_046_,11.32
op[2],10.68
_087_,10.2
din2[0],9.97
net24,9.94
op[0],9.18
dout[7],8.93
op[1],8.84
din2[2],8.05
din1[3],7.25
dout[2],6.55
dout[3],6.21
dout[5],6.21
din2[7],6.09
din1[2],5.41
din1[6],5.41
din2[1],5.41
din2[3],5.41
din2[6],5.41
_032_,5.16
din1[0],4.95
din1[4],4.95
din1[5],4.95
din2[4],4.95
din2[5],4.95
dout[4],4.85
dout[6],4.85
din1[1],4.61
_075_,3.08
