net,length_um
_1266_,3311.94
_0646_,3181.48
_0821_,3160.34
_0666_,3076.08
_0345_,3016.17
_0667_,3015
_0490_,2953.52
_0691_,2952.8
_1183_,2941.89
_0352_,2939.505
_0517_,2938.09
_0234_,2933.88
_0824_,2933.63
_0231_,2877.005
_0906_,2828.62
_0561_,2817.11
_0228_,2809.75
_1101_,2788.15
_0514_,2775.76
_1255_,2771.32
_0758_,2752
_0297_,2741.785
_1114_,2724.225
_0527_,2720.46
net18,2713.41
_0437_,2713.22
_1240_,2712.94
_0239_,2710.35
_0298_,2683.9
_0274_,2672.72
_1277_,2666.12
_1205_,2664.96
_0227_,2658.62
net9,2654.135
net31,2651.95
_0719_,2648.28
_0526_,2637.66
_1125_,2634.155
_0223_,2626.14
_0320_,2618.54
net32,2612.55
_0525_,2605.12
net10,2600.8
_0321_,2591.08
_0742_,2569.95
_0689_,2564.65
_0571_,2543.16
_0299_,2525.58
_0491_,2503.82
_0542_,2498.38
net38,2492.49
_0269_,2483.31
_0235_,2479.96
net33,2470.05
_0614_,2458.795
_0528_,2442.46
_1218_,2438.15
net13,2430.29
_0224_,2398.71
net36,2392.51
net12,2377.16
_1136_,2373.04
net8,2363.98
_0887_,2355.46
_0615_,2345.48
net20,2336.35
_0713_,2327.785
_0357_,2308.64
_1229_,2308.64
net29,2289.67
_0226_,2289.05
net23,2273.22
net15,2265.12
_0330_,2253.96
_1048_,2233.22
net7,2220.52
_1194_,2188.3
net26,2175.31
net21,2171.76
_0225_,2164.12
_0931_,2141.44
net17,2112.53
_0271_,2082.58
net34,2054.925
net27,2034.59
net37,2028.96
net35,2025.43
net1,2021.36
_1090_,1996.26
net16,1995.03
_0549_,1976.8
_0325_,1960.77
net25,1955.45
_0409_,1945.36
net243,1934.47
_0243_,1896.9
_0545_,1893.215
_0270_,1867.56
net22,1811.91
_0826_,1801.5
_0447_,1746.32
_1182_,1742.74
net3,1736.74
_0539_,1723.22
net30,1717.77
net14,1708.97
_0428_,1694
_0347_,1686.48
_0922_,1680.275
_0073_,1672.22
_0067_,1651.26
_0693_,1626.2
_0276_,1617.68
net360,1614.11
_1242_,1608.9
_0703_,1608.38
net454,1598.62
_0855_,1597.73
net453,1597.48
_0807_,1594.37
_0843_,1592.275
_0268_,1589.965
_0720_,1578.36
net446,1571.88
net450,1571.38
_0122_,1566.28
net310,1566.1
net465,1555.08
net451,1554.055
net458,1551.4
_0097_,1547.52
_0688_,1540.78
net359,1537.27
_0920_,1537.08
_0412_,1531.64
net444,1521.09
_0566_,1512.04
RF.registers\[25\]\[17\],1510.52
_0819_,1509.66
RF.registers\[15\]\[27\],1503.795
RF.registers\[10\]\[11\],1500.55
_0529_,1499.78
RF.registers\[0\]\[20\],1495.965
RF.registers\[5\]\[4\],1495.16
net428,1491.6
net460,1486.58
_0709_,1480.84
_0108_,1474.06
SSD.count\[14\],1462.66
_0548_,1462.47
_0687_,1462.28
RF.registers\[10\]\[31\],1455.38
RF.registers\[0\]\[1\],1441.84
RF.registers\[20\]\[3\],1440.7
RF.registers\[0\]\[22\],1439.86
RF.registers\[0\]\[21\],1437.04
RF.registers\[0\]\[10\],1433.36
RF.registers\[15\]\[24\],1431.67
net327,1429.3
_0432_,1428.09
_1001_,1427.06
RF.registers\[25\]\[9\],1425.8
RF.registers\[0\]\[8\],1422.24
_1167_,1420.42
RF.registers\[25\]\[29\],1420.3
_0358_,1417.85
RF.registers\[10\]\[30\],1417.71
net344,1417.5
_1015_,1416.4
_0050_,1415.5
_0112_,1413.9
_0877_,1413.4
_1191_,1409.72
_0896_,1409.01
RF.registers\[15\]\[4\],1407.67
_0385_,1404.82
RF.registers\[10\]\[23\],1403.86
_0368_,1403.8
_0560_,1399.25
_0273_,1397.55
_0041_,1397.3
_0516_,1396.15
_0574_,1396.14
_1274_,1391.64
_0494_,1391.06
net283,1390.97
RF.registers\[10\]\[19\],1390.37
_0754_,1390.3
_0917_,1388.84
_1214_,1387.555
net156,1387.16
net285,1387.09
RF.registers\[0\]\[23\],1384.28
RF.registers\[15\]\[15\],1378.52
_0851_,1376.4
_0071_,1375.1
RF.registers\[5\]\[30\],1373.79
RF.registers\[15\]\[13\],1372.35
_0655_,1369.16
RF.registers\[25\]\[21\],1367.92
_0755_,1367.71
RF.registers\[20\]\[21\],1366.31
RF.registers\[20\]\[20\],1364.16
_1004_,1363.89
